Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,1.19257616997,0,1.7976931348623157E308,-1,1.19257616997,0.0,1,0.0,0,1.19257616997,SAT,,4.562,
2,2,1,1.30072569847,0,2.5529498565673823,-1,1.30072569847,0.0,1,0.0,1,2.4933018684399997,SAT,,4.477,
3,3,1,1.51988077164,0,2.5529498565673823,-1,1.51988077164,0.0,1,0.0,1,4.01318264008,SAT,,4.582,
4,4,1,1.13402676582,0,2.5529498565673823,-1,1.13402676582,0.0,1,0.0,2,5.1472094059,SAT,,3.685,
5,5,1,1.23593211174,0,2.4768350112915036,-1,1.23593211174,0.0,1,0.0,2,6.38314151764,SAT,,3.972,
6,6,1,1.18190312386,0,2.4768350112915036,-1,1.18190312386,0.0,1,0.0,3,7.5650446415,SAT,,3.847,
7,7,1,1.35684370995,0,2.4768350112915036,-1,1.35684370995,0.0,1,0.0,3,8.92188835145,SAT,,4.517,
8,8,1,1.33070731163,0,2.4768350112915036,-1,1.33070731163,0.0,1,0.0,4,10.252595663080001,SAT,,4.429,
9,9,1,1.19169473648,0,2.4768350112915036,-1,1.19169473648,0.0,1,0.0,4,11.444290399560002,SAT,,4.25,
10,10,1,1.29746127129,0,2.4768350112915036,-1,1.29746127129,0.0,1,0.0,5,12.741751670850002,SAT,,3.799,
11,11,1,1.36706018448,0,2.4768350112915036,-1,1.36706018448,0.0,1,0.0,5,14.108811855330002,SAT,,4.456,
12,12,1,1.08664512634,0,2.4768350112915036,-1,1.08664512634,0.0,1,0.0,6,15.195456981670002,SAT,,4.078,
13,13,1,1.11047530174,0,2.4152391899108885,-1,1.11047530174,0.0,1,0.0,6,16.30593228341,SAT,,3.8,
14,14,1,1.18303394318,0,2.4152391899108885,-1,1.18303394318,0.0,1,0.0,7,17.48896622659,SAT,,4.305,
15,15,1,1.12817454338,0,2.4152391899108885,-1,1.12817454338,0.0,1,0.0,7,18.61714076997,SAT,,4.149,
16,16,1,1.01196980476,0,2.4152391899108885,-1,1.01196980476,0.0,1,0.0,8,19.62911057473,SAT,,4.302,
17,17,1,1.1988260746,0,2.318160961914062,-1,1.1988260746,0.0,1,0.0,8,20.82793664933,SAT,,3.747,
18,18,1,1.17046642303,0,2.318160961914062,-1,1.17046642303,0.0,1,0.0,9,21.99840307236,SAT,,4.2,
19,19,1,1.17142605782,0,2.318160961914062,-1,1.17142605782,0.0,1,0.0,9,23.16982913018,SAT,,4.152,
20,20,1,1.03856658936,0,2.318160961914062,-1,1.03856658936,0.0,1,0.0,10,24.208395719539997,SAT,,3.47,
21,21,1,1.10175228119,0,2.318160961914062,-1,1.10175228119,0.0,1,0.0,10,25.310148000729995,SAT,,3.622,
22,22,1,1.12213492393,0,2.318160961914062,-1,1.12213492393,0.0,1,0.0,11,26.432282924659994,SAT,,4.378,
23,23,1,1.12630009651,0,2.318160961914062,-1,1.12630009651,0.0,1,0.0,11,27.558583021169994,SAT,,3.804,
24,24,1,1.12179708481,0,2.318160961914062,-1,1.12179708481,0.0,1,0.0,12,28.680380105979996,SAT,,3.699,
25,25,1,1.22216057777,0,2.318160961914062,-1,1.22216057777,0.0,1,0.0,12,29.902540683749997,SAT,,3.947,
26,26,1,1.11507701874,0,2.318160961914062,-1,1.11507701874,0.0,1,0.0,13,31.017617702489996,SAT,,3.721,
27,27,1,1.22613120079,0,2.318160961914062,-1,1.22613120079,0.0,1,0.0,13,32.24374890327999,SAT,,4.252,
28,28,1,1.25583577156,0,2.318160961914062,-1,1.25583577156,0.0,1,0.0,14,33.499584674839994,SAT,,4.451,
29,29,1,1.12945270538,0,2.318160961914062,-1,1.12945270538,0.0,1,0.0,14,34.62903738021999,SAT,,4.275,
30,30,1,1.51543354988,0,2.318160961914062,-1,1.51543354988,0.0,1,0.0,15,36.14447093009999,SAT,,4.341,
31,31,1,1.15838503838,0,2.318160961914062,-1,1.15838503838,0.0,1,0.0,15,37.30285596847999,SAT,,3.62,
32,32,1,1.09792709351,0,2.318160961914062,-1,1.09792709351,0.0,1,0.0,16,38.40078306198999,SAT,,3.849,
33,33,1,1.14060711861,0,2.318160961914062,-1,1.14060711861,0.0,1,0.0,16,39.54139018059999,SAT,,4.306,
34,34,1,1.25557303429,0,2.318160961914062,-1,1.25557303429,0.0,1,0.0,17,40.79696321488999,SAT,,4.552,
35,35,1,1.38767433167,0,2.318160961914062,-1,1.38767433167,0.0,1,0.0,17,42.18463754655999,SAT,,4.501,
36,36,1,1.20169734955,0,2.318160961914062,-1,1.20169734955,0.0,1,0.0,18,43.38633489610999,SAT,,3.901,
37,37,1,1.4908080101,0,2.318160961914062,-1,1.4908080101,0.0,1,0.0,18,44.87714290620999,SAT,,3.932,
38,38,1,1.239372015,0,2.318160961914062,-1,1.239372015,0.0,1,0.0,19,46.11651492120999,SAT,,4.375,
39,39,1,1.48510217667,0,2.318160961914062,-1,1.48510217667,0.0,1,0.0,19,47.60161709787999,SAT,,4.728,
40,40,1,1.25011134148,0,2.318160961914062,-1,1.25011134148,0.0,1,0.0,20,48.85172843935999,SAT,,3.973,
41,41,1,1.64719390869,0,2.318160961914062,-1,1.64719390869,0.0,1,0.0,20,50.49892234804999,SAT,,4.955,
42,42,1,2.18885779381,0,2.318160961914062,-1,2.18885779381,0.0,1,0.0,21,52.68778014185999,SAT,,5.889,
43,43,1,1.9499771595,0,2.318160961914062,-1,1.9499771595,0.0,1,0.0,21,54.63775730135999,SAT,,5.821,
44,44,1,1.17092633247,0,2.318160961914062,-1,1.17092633247,0.0,1,0.0,22,55.80868363382999,SAT,,4.856,
45,45,1,4.86597704887,0,2.318160961914062,-1,4.86597704887,0.0,1,0.0,22,60.674660682699994,SAT,,8.427,
46,46,1,2.3413567543,0,2.318160961914062,-1,2.3413567543,0.0,1,0.0,23,63.016017436999995,SAT,,6.37,
47,47,1,1.57775950432,0,2.318160961914062,-1,1.57775950432,0.0,1,0.0,23,64.59377694132,SAT,,5.004,
48,48,1,1.2890586853,0,2.318160961914062,-1,1.2890586853,0.0,1,0.0,24,65.88283562662001,SAT,,3.799,
49,49,1,1.24483108521,0,2.318160961914062,-1,1.24483108521,0.0,1,0.0,24,67.12766671183,SAT,,4.438,
50,50,1,1.55358147621,0,2.318160961914062,-1,1.55358147621,0.0,1,0.0,25,68.68124818804,SAT,,4.754,
51,51,1,1.46686792374,0,2.318160961914062,-1,1.46686792374,0.0,1,0.0,25,70.14811611178,SAT,,4.701,
52,52,1,1.64992451668,0,2.318160961914062,-1,1.64992451668,0.0,1,0.0,26,71.79804062846,SAT,,4.905,
53,53,1,1.30189967155,0,2.318160961914062,-1,1.30189967155,0.0,1,0.0,26,73.09994030001,SAT,,4.53,
54,54,1,1.34521007538,0,2.318160961914062,-1,1.34521007538,0.0,1,0.0,27,74.44515037539,SAT,,4.681,
55,55,1,1.99951958656,0,2.318160961914062,-1,1.99951958656,0.0,1,0.0,27,76.44466996195,SAT,,5.132,
56,56,1,2.51418066025,0,2.318160961914062,-1,2.51418066025,0.0,1,0.0,28,78.9588506222,SAT,,6.446,
57,57,1,1.7976931348623157E308,0,2.318160961914062,-1,27.320099999999996,0.0,-1,1.0E9,28,106.2789506222,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,28.758,
